Trip ID,Destination,Duration (days),Mode of Transportation,Accommodation Type,Overall Expenses ($)
1,Amsterdam,8,Train,Hostel,2811
2,Paris,14,Car Rental,Hotel,4355
3,San Francisco,8,Bus,Hotel,1137
4,Sydney,4,Airplane,Hotel,3162
5,Sydney,3,Car Rental,Hotel,1669
6,Paris,1,Train,Hostel,2592
7,Rome,7,Car Rental,Hostel,2828
8,Sydney,8,Train,Hostel,3698
9,Rome,11,Airplane,Airbnb,4650
10,Paris,13,Airplane,Airbnb,1221
11,Sydney,7,Train,Hotel,4881
12,Amsterdam,2,Train,Airbnb,3752
13,Amsterdam,6,Car Rental,Hotel,4749
14,Rome,12,Airplane,Airbnb,3309
15,Tokyo,8,Airplane,Airbnb,1797
16,Berlin,1,Bus,Hotel,3463
17,Sydney,5,Train,Hostel,4748
18,Berlin,4,Car Rental,Hotel,1184
19,San Francisco,4,Airplane,Airbnb,2192
20,Paris,1,Car Rental,Airbnb,3238
21,Sydney,13,Bus,Hostel,3060
22,Berlin,1,Car Rental,Airbnb,3605
23,Tokyo,5,Bus,Hostel,4250
24,London,13,Train,Hostel,1152
25,New York,7,Car Rental,Hotel,4757
26,San Francisco,6,Train,Hostel,1211
27,Barcelona,2,Bus,Hostel,4125
28,Berlin,11,Bus,Hostel,2472
29,New York,1,Bus,Hotel,4280
30,Tokyo,14,Car Rental,Airbnb,1491
31,Barcelona,5,Train,Airbnb,4579
32,Sydney,6,Car Rental,Hotel,4788
33,New York,5,Airplane,Hostel,3801
34,New York,4,Car Rental,Hotel,3544
35,Amsterdam,8,Airplane,Hostel,3712
36,Barcelona,12,Car Rental,Airbnb,1078
37,San Francisco,5,Airplane,Hotel,2957
38,Paris,1,Airplane,Hostel,1943
39,Paris,7,Bus,Airbnb,4080
40,Sydney,4,Train,Hotel,3700
41,Paris,5,Airplane,Hotel,2192
42,Sydney,14,Train,Airbnb,3274
43,Rome,4,Bus,Airbnb,3939
44,Sydney,13,Airplane,Hostel,2723
45,Paris,8,Airplane,Hotel,3617
46,Rome,6,Car Rental,Hostel,1563
47,Tokyo,13,Bus,Hotel,2844
48,Berlin,13,Airplane,Airbnb,3734
49,Paris,1,Bus,Hostel,3317
50,Barcelona,8,Bus,Airbnb,4871
51,New York,6,Bus,Hostel,2639
52,Amsterdam,2,Bus,Hotel,4333
53,Rome,3,Car Rental,Airbnb,4112
54,New York,10,Airplane,Airbnb,3540
55,London,5,Train,Hotel,1986
56,San Francisco,2,Car Rental,Hostel,3241
57,London,10,Airplane,Airbnb,2358
58,New York,13,Airplane,Hostel,4317
59,San Francisco,12,Car Rental,Hostel,4371
60,San Francisco,12,Bus,Hostel,2695
61,Paris,9,Bus,Hotel,2880
62,Paris,11,Airplane,Hostel,4684
63,Amsterdam,11,Car Rental,Hostel,1741
64,London,1,Car Rental,Airbnb,1836
65,London,13,Car Rental,Airbnb,2054
66,San Francisco,10,Car Rental,Hostel,2713
67,Amsterdam,8,Train,Hostel,3673
68,Paris,6,Bus,Hotel,1458
69,San Francisco,3,Airplane,Airbnb,1725
70,Barcelona,13,Train,Hotel,3912
71,Rome,2,Bus,Hostel,3506
72,Tokyo,13,Train,Hostel,4075
73,London,4,Car Rental,Hotel,4523
74,Paris,14,Car Rental,Hotel,4645
75,Berlin,12,Car Rental,Hotel,1643
76,London,5,Bus,Airbnb,1050
77,Paris,2,Car Rental,Hostel,4333
78,San Francisco,5,Airplane,Hostel,4921
79,Paris,7,Bus,Hostel,3259
80,Tokyo,9,Bus,Hotel,2850
81,New York,10,Car Rental,Hostel,3282
82,London,3,Airplane,Hostel,1184
83,Berlin,2,Car Rental,Hotel,1280
84,Tokyo,3,Train,Airbnb,1544
85,Paris,6,Train,Hotel,2454
86,Paris,1,Bus,Hotel,3358
87,London,6,Airplane,Hostel,1119
88,Paris,5,Train,Airbnb,2196
89,San Francisco,8,Bus,Airbnb,4560
90,New York,12,Train,Hotel,4809
91,Paris,6,Airplane,Hotel,1526
92,Berlin,2,Train,Hostel,1559
93,San Francisco,12,Airplane,Hostel,2697
94,Rome,10,Train,Hostel,4921
95,New York,2,Car Rental,Airbnb,3718
96,Amsterdam,2,Airplane,Hotel,3303
97,Sydney,1,Airplane,Hostel,3861
98,Sydney,9,Airplane,Airbnb,3651
99,London,6,Car Rental,Hotel,4201
100,Berlin,8,Airplane,Airbnb,4791
101,Barcelona,10,Bus,Hostel,4949
102,Sydney,6,Airplane,Airbnb,1622
103,Barcelona,11,Train,Airbnb,3578
104,Tokyo,8,Train,Hotel,1790
105,San Francisco,2,Train,Airbnb,3064
106,Rome,4,Train,Hotel,3603
107,Paris,4,Train,Hostel,3455
108,Barcelona,2,Airplane,Hostel,3833
109,Paris,1,Car Rental,Airbnb,2560
110,Barcelona,12,Bus,Hotel,1089
111,Tokyo,5,Car Rental,Hostel,4463
112,Berlin,7,Airplane,Airbnb,4193
113,Paris,1,Bus,Airbnb,2322
114,Tokyo,8,Airplane,Hotel,4942
115,Barcelona,10,Airplane,Hostel,4944
116,New York,4,Bus,Airbnb,4051
117,Paris,5,Car Rental,Hotel,2405
118,London,9,Bus,Airbnb,4997
119,San Francisco,13,Airplane,Hostel,2898
120,Sydney,5,Train,Airbnb,3187
121,Sydney,9,Car Rental,Airbnb,1266
122,San Francisco,9,Airplane,Airbnb,2377
123,New York,14,Car Rental,Airbnb,3304
124,New York,2,Train,Airbnb,2878
125,San Francisco,10,Bus,Hotel,1500
126,Sydney,11,Airplane,Hostel,4689
127,London,2,Airplane,Airbnb,3419
128,Barcelona,4,Bus,Airbnb,4743
129,New York,4,Bus,Hostel,3270
130,San Francisco,8,Bus,Hostel,3958
131,New York,12,Bus,Hotel,1431
132,Berlin,3,Train,Airbnb,3984
133,Tokyo,5,Bus,Hostel,4481
134,London,10,Bus,Airbnb,1221
135,Tokyo,13,Car Rental,Airbnb,1367
136,Paris,9,Train,Hotel,2436
137,Rome,4,Bus,Airbnb,3538
138,San Francisco,11,Train,Hostel,2484
139,Tokyo,14,Car Rental,Airbnb,1014
140,Tokyo,1,Train,Airbnb,4802
141,Tokyo,6,Train,Hostel,1132
142,Barcelona,13,Airplane,Hotel,4279
143,San Francisco,3,Airplane,Hostel,1706
144,Sydney,6,Bus,Airbnb,4945
145,Amsterdam,1,Car Rental,Hotel,2441
146,Tokyo,11,Bus,Hostel,3394
147,Berlin,13,Car Rental,Hostel,3842
148,Tokyo,10,Bus,Airbnb,3712
149,Berlin,14,Train,Hotel,4655
150,New York,10,Train,Hostel,4792
151,San Francisco,6,Train,Hotel,3988
152,Amsterdam,4,Car Rental,Hostel,3575
153,Paris,9,Airplane,Airbnb,3818
154,Barcelona,10,Train,Hostel,2335
155,Tokyo,14,Car Rental,Hotel,1911
156,New York,2,Train,Hostel,3052
157,Rome,10,Airplane,Hostel,1979
158,Paris,6,Car Rental,Hostel,1046
159,Paris,9,Train,Hotel,3629
160,New York,1,Train,Hostel,4049
161,London,5,Airplane,Hotel,3870
162,Rome,1,Car Rental,Airbnb,3201
163,Amsterdam,10,Bus,Airbnb,2225
164,London,5,Car Rental,Airbnb,3387
165,San Francisco,9,Bus,Hotel,2104
166,Tokyo,5,Airplane,Airbnb,3644
167,San Francisco,3,Train,Hotel,1280
168,London,8,Airplane,Hostel,2359
169,Berlin,4,Car Rental,Hostel,3281
170,Berlin,2,Train,Hostel,4260
171,Berlin,11,Train,Hotel,3208
172,San Francisco,3,Bus,Hostel,4168
173,Sydney,7,Bus,Hotel,4441
174,Amsterdam,5,Airplane,Airbnb,4113
175,London,3,Airplane,Airbnb,1227
176,Rome,11,Airplane,Airbnb,4484
177,Barcelona,8,Train,Hostel,3875
178,Paris,10,Airplane,Hotel,3711
179,Rome,14,Car Rental,Airbnb,2666
180,Berlin,8,Train,Hostel,3747
181,Rome,11,Bus,Hotel,4191
182,Amsterdam,9,Train,Hostel,4231
183,Rome,9,Car Rental,Hotel,2743
184,London,11,Car Rental,Airbnb,3870
185,London,12,Bus,Hotel,2997
186,San Francisco,11,Train,Hotel,3183
187,New York,7,Train,Hostel,3944
188,Amsterdam,14,Train,Airbnb,4095
189,Amsterdam,14,Airplane,Airbnb,2640
190,Barcelona,12,Car Rental,Airbnb,2592
191,Sydney,6,Train,Airbnb,2434
192,London,8,Bus,Airbnb,1736
193,Sydney,14,Train,Hostel,3722
194,Tokyo,1,Car Rental,Hostel,4400
195,Paris,6,Train,Airbnb,4870
196,London,12,Train,Airbnb,4198
197,San Francisco,8,Car Rental,Airbnb,3533
198,Amsterdam,14,Airplane,Airbnb,3441
199,Tokyo,12,Train,Airbnb,3865
200,London,12,Airplane,Hotel,4344
201,San Francisco,10,Train,Hotel,1001
202,London,10,Car Rental,Airbnb,2673
203,London,9,Car Rental,Airbnb,4189
204,Sydney,10,Train,Airbnb,2645
205,Sydney,10,Airplane,Airbnb,3306
206,Sydney,8,Car Rental,Hostel,4263
207,New York,1,Train,Airbnb,1916
208,Sydney,6,Car Rental,Hostel,1067
209,Barcelona,2,Train,Hotel,2244
210,Tokyo,10,Car Rental,Hostel,2863
211,Sydney,1,Airplane,Hostel,4540
212,New York,13,Airplane,Hotel,2192
213,London,2,Train,Hostel,4001
214,Tokyo,1,Bus,Airbnb,4533
215,Amsterdam,9,Car Rental,Airbnb,3280
216,Rome,11,Bus,Hostel,4563
217,London,2,Train,Airbnb,4102
218,Barcelona,6,Airplane,Airbnb,1031
219,Berlin,6,Airplane,Hostel,3887
220,Sydney,11,Airplane,Hotel,1075
221,Sydney,10,Bus,Hostel,4888
222,New York,6,Train,Hotel,4949
223,Sydney,4,Bus,Hostel,1128
224,San Francisco,14,Airplane,Airbnb,1624
225,Tokyo,5,Airplane,Hotel,1653
226,Amsterdam,12,Airplane,Hostel,3601
227,London,10,Train,Hostel,1230
228,Amsterdam,8,Train,Hotel,1412
229,San Francisco,3,Bus,Airbnb,1079
230,Amsterdam,11,Train,Hostel,1099
231,Barcelona,6,Airplane,Hotel,3846
232,New York,12,Airplane,Hotel,4852
